"id","claim","label","relationship","scope","sources","limits","last_human_verified"
"definition","バーンアウトは、うまく管理されなかった慢性的な職場ストレスに関係する職業上の現象である","A","definition","individual|work","who-2019|maslach-leiter-2016","WHOでは医療上の疾患に分類されない|仕事以外の生活領域へ無条件に拡張しない","2026-07-11"
"three-dimensions","代表的定義では消耗、仕事からの心理的距離・冷笑、職業的効力感の低下という複数次元を扱う","A","construct","individual","maslach-jackson-1981|maslach-leiter-2016","尺度によって次元構成が異なる|単一総合点が常に適切とは限らない","2026-07-11"
"not-diagnosis","バーンアウト尺度だけで精神疾患を診断できる","不支持","clinical-boundary","individual","who-2019|koutsimani-2019","抑うつ・不安・睡眠等との併存や鑑別には医療専門家の評価が必要","2026-07-11"
"demands","高い仕事要求はバーンアウト、特に消耗と将来的に関連する","A/B","risk-association","individual|organization","demerouti-2001|alarcon-2011|aronsson-2017","要求の種類と職務文脈が異なる|自己報告研究を含む","2026-07-11"
"resources","裁量、支援、公正、報酬などの仕事資源の不足はバーンアウトと関連する","A/B","risk-association","individual|organization","lee-ashforth-1996|alarcon-2011|aronsson-2017","資源同士は相関する|介入で何を変えるべきかは文脈依存","2026-07-11"
"health-outcomes","バーンアウトは後の心理・身体・職業上の不利益を予測した前向き研究がある","B","prospective-association","individual","salvagioni-2017","結果が一致しないアウトカムもある|疾患の直接原因と断定しない|尺度の異質性","2026-07-11"
"depression-overlap","バーンアウトと抑うつ・不安は強く関連するが、完全に同一とは確定していない","B","construct-boundary","individual","koutsimani-2019|chen-meier-2021","項目内容が重なる|横断研究が多い|臨床鑑別は尺度相関だけでできない","2026-07-11"
"engagement-opposite","ワーク・エンゲージメントはバーンアウトの単純な反対語である","不支持/要区別","construct-boundary","individual","bakker-2014|maslach-leiter-2008","関連は強いが独立に測るモデルがある|低エンゲージメントだけでバーンアウトとは言えない","2026-07-11"
"prevalence-single-number","職種のバーンアウト率は、どの調査でも同じ基準で比較できる","不支持","measurement-boundary","population","rotenstein-2018","尺度、次元、カットオフ、集計法が異なる|医師レビューだが測定上の教訓は広い","2026-07-11"
"individual-interventions","個人向け介入でバーンアウトが小さく改善する場合がある","B/C","intervention","individual","awa-2010|west-2016|lee-cha-2023|haslam-2024","医療職研究が多い|効果は小さく短期のことが多い|組織要因を残したままでは限界","2026-07-11"
"organizational-interventions","勤務・業務・資源等を変える組織介入はバーンアウト対策に含めるべきである","B","intervention-guidance","organization","west-2016|de-simone-2019|who-2022","介入の具体像と実装品質が多様|医療職研究の比重が大きい","2026-07-11"
"training-only","レジリエンス研修やマインドフルネスだけで、どの職場のバーンアウトも解決できる","不支持","practice-guardrail","individual|organization","awa-2010|who-2022|haslam-2024","過重負荷・低裁量・不公正等を同時に扱う必要がある","2026-07-11"
"japanese-measures","日本の労働者向けに検証されたバーンアウト尺度が複数ある","B","measurement","individual","kitaoka-2004|kubo-2014|sakakibara-2020","尺度間で構成概念と得点が異なる|全国共通の診断閾値ではない|利用条件を確認","2026-07-11"
"screening-ranking","バーンアウト得点を個人査定、配置転換、退職勧奨の根拠へ直接使ってよい","不支持","ethical-guardrail","individual|organization","who-2022|debeer-2024","回答抑制・不利益・再特定を生む|健康情報として厳格な保護が必要","2026-07-11"
"personal-weakness","バーンアウトは本人の性格や弱さだけで生じる","不支持","causal-guardrail","individual|organization","demerouti-2001|aronsson-2017|maslach-leiter-2016","個人差はあり得るが仕事設計・関係・制度を除外できない","2026-07-11"
"recovery-time","休暇を取れば、仕事の条件を変えなくてもバーンアウトは必ず再発しない","不支持","practice-guardrail","individual|organization","perski-2017|maslach-leiter-2016","回復と復職は別の結果|元の要求・資源の不均衡が残れば再発し得る","2026-07-11"
"manager-duty","管理職の役割は、疲弊した本人にセルフケアを勧めることだけである","不支持","organizational-duty","manager|organization","who-2022|de-simone-2019","業務量、裁量、役割、支援、公正、休息、医療アクセスを点検する必要","2026-07-11"
"monitoring-ai","メール・チャット・表情等から本人に知らせずバーンアウトを推定してよい","不支持","ethical-guardrail","individual|organization","who-2022|rotenstein-2018","妥当性・同意・目的外利用・誤分類・差別の問題|研究尺度ですら定義が統一されない","2026-07-11"
